CustomerKey,Gender,Name,City,State,Country,Continent,Birthday
301,Female,"Lilly Harding","WANDEARAH EAST","South Australia",Australia,Australia,1939-07-03
325,Female,"Madison Hull","MOUNT BUDD","Western Australia",Australia,Australia,1979-09-27
554,Female,"Claire Ferres",WINJALLOK,Victoria,Australia,Australia,1947-05-26
786,Male,"Jai Poltpalingada","MIDDLE RIVER","South Australia",Australia,Australia,1957-09-17
1042,Male,"Aidan Pankhurst","TAWONGA SOUTH",Victoria,Australia,Australia,1965-11-19
1086,Male,"Hayden Clegg",TEMPLERS,"South Australia",Australia,Australia,1954-01-20
1133,Male,"Nicholas Caffyn","JUBILEE POCKET",Queensland,Australia,Australia,1969-11-22
1256,Male,"Lincoln Jenks",KULLOGUM,Queensland,Australia,Australia,1950-03-12
1314,Male,"Isaac Israel","EDITH RIVER","Northern Territory",Australia,Australia,1965-12-21
1568,Male,"Luke Virtue",KOTTA,Victoria,Australia,Australia,1975-07-25
1585,Female,"Anna Hallstrom","GREEN LAKE",Victoria,Australia,Australia,1990-08-12
1626,Female,"Mary Leach","NEDS CORNER",Victoria,Australia,Australia,1985-10-17
1642,Female,"Ruby Ambrose",TARLO,"New South Wales",Australia,Australia,1965-03-03
1677,Male,"Dean Innes",ELLESMERE,Queensland,Australia,Australia,1964-11-22
1817,Female,"Laura Le Rennetel",BEAUCHAMP,Victoria,Australia,Australia,1986-07-10
1863,Female,"Chelsea Watkins","NAMBOUR DC",Queensland,Australia,Australia,1984-09-22
1945,Male,"Angus Beaurepaire",GREENFIELDS,"Western Australia",Australia,Australia,1974-09-20
2238,Female,"Isabelle Cochran",BRUCKNELL,Victoria,Australia,Australia,1969-10-31
2248,Male,"Rory Spargo",JUNG,Victoria,Australia,Australia,1987-12-15
2435,Female,"Lilian Hall",BLAKEBROOK,"New South Wales",Australia,Australia,1968-04-01
2469,Female,"Phoebe Kneeshaw",BIDWILL,Queensland,Australia,Australia,1948-05-20
2512,Female,"Matilda Hake","BUNKERS HILL",Victoria,Australia,Australia,1992-11-13
2604,Female,"Claudia Davison","KUBIN VILLAGE",Queensland,Australia,Australia,1995-04-08
2751,Male,"Nate Lowes",CALLIDE,Queensland,Australia,Australia,1979-08-20
2792,Male,"Zachary Perkin",BAMGANIE,Victoria,Australia,Australia,1976-08-25
2836,Male,"Nicholas Shand",GORDONBROOK,Queensland,Australia,Australia,1959-02-23
3002,Male,"Joshua Aronson",SMITHTON,Tasmania,Australia,Australia,2000-11-08
3006,Female,"Alica Stuckey",HARTLEY,"New South Wales",Australia,Australia,1943-01-13
3203,Male,"Aidan Kane",ARGENTON,"New South Wales",Australia,Australia,1998-08-18
3270,Male,"Hunter Templeton","CENTRAL TILBA","New South Wales",Australia,Australia,1948-05-02
3327,Female,"Alannah Le Messurier",KONONGWOOTONG,Victoria,Australia,Australia,1948-04-28
3410,Male,"Will Armitage",BOLLON,Queensland,Australia,Australia,1950-05-12
3575,Male,"Noah McFarland","HOPPERS CROSSING",Victoria,Australia,Australia,1942-03-04
3964,Female,"Rose Code",DIXIE,Victoria,Australia,Australia,1944-02-16
